Private school % Children (Age 6-14) enrolled in private schools,Not in school % Girls (Age 11-14) not enrolled in school,Std III: Learning levels % Children who can read Std II level text,Std III: Learning levels % Children who can do at least subtraction,Std V: Learning levels % Children who can read Std II level text,Std V: Learning levels % Children who can do division,Std VIII: Learning levels % Children who can read Std II level text,Std VIII: Learning levels % Children who can do division,Number of schools visited 2016,PTR  & CTR % Schools complying with: Pupil-teacher ratio 2016,PTR  & CTR % Schools complying with: Classroom-teacher ratio 2016,School facilities % Schools that have: Office/store/office cum store 2016,School facilities % Schools that have: Playground 2016,Boundary wall 2016,Kitchen shed for cooking mid-day meal 2016,Drinking water available 2016,Toilet available and useable 2016,Girls’ toilet available and useable 2016,Total enrollment of 60 or less 2016,Std ll children observed sitting with one or more classes 2016,Std lV children observed sitting with one or more classes 2016,Library books available 2016,Library books being used by the children on day of visit 2016,Computer available for children 2016,Computer available and children observed using them on day of visit 2016,Mid-day meal served in school on day of visit 2016,% Households which have a pucca house 2016,% Households which have motorized two wheeler 2016,% Households which have an electric connection 2016,"Of households with electric connection, % households with electricity avilable on day of visit 2016",% Households which have a toilet 2016,% Households which have a television 2016,% Households which have a mobile phone 2016,% Households which have other reading material* 2016,% Households with at least one member who completed Std XII** 2016,% Households with at least one member who knows how to operate a computer 2016,2016 % Mothers with: No school- ing,2016 % Mothers with: Std I-V,2016 % Mothers with: Std VI-X,2016 % Mothers with: Above Std X,2016 % Fathers with: No school- ing,2016 % Fathers with: Std I-V,2016 % Fathers with: Std VI-X,2016 % Fathers with: Above Std X,Number 1to9,Number 11to99,Subtraction,Division,Govt,Pvt,Other,Out of School,Letter,Word,Std1 Para,Std2 Para
30.5,,25.1,27.6,47.8,25.9,73,43.2,15682,53.1,73.5,77.4,64.5,60.3,89.7,74,68.6,61.9,28,62.1,54.7,75.4,42.6,20,8.1,87.1,49.2,37.7,83.6,88.8,53.5,57.7,79.8,20.6,37.1,21.5,46.6,14.4,29.9,9.2,25.9,14.4,41,18.7,0.18,0.275,0.189,0.252,0.637,0.305,0.01,0.049,0.16,0.121,0.131,0.456
34.2,3.6,22.7,48.1,55.1,37.2,77.8,50.4,380,58.6,70.6,58.5,54.2,49.5,70,56.6,82.9,72.8,36.1,64.2,59.2,94.7,70.5,17.4,9.5,99.5,71.1,38.7,98.1,96.1,64.1,84.3,81.1,13.4,36.2,23.5,37.4,17.2,35,10.4,31.1,15.6,36.3,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.5,2.2,11.8,31.6,25.5,19,68,55.5,212,71.1,84.3,82.9,68.5,50,56,50.7,49.3,35.8,40.7,33.5,27.2,34.6,8.5,12.3,1,50.5,13.8,33,90.3,93.1,82.7,65.6,55.6,44.9,27.1,21.7,51.4,15.2,27.3,6.2,32,18.4,36.6,13,0.089,0.397,0.252,0.224,0.684,0.286,0.001,0.029,0.238,0.23,0.186,0.294
22,4.1,17.2,26.5,38,13.6,63.6,28.6,701,35.2,73.6,54,68.8,32.4,86.7,66.7,61.7,54.2,44.6,58.5,53.4,59.3,34.6,1.2,0.3,70.8,22,23.8,76.3,88.8,64.6,43.1,69.6,19.1,30.3,16,38.2,13.7,40,8.1,30.1,15.3,39.1,15.6,0.194,0.297,0.235,0.149,0.721,0.216,0.018,0.045,0.154,0.183,0.159,0.359
12.9,4.4,20.7,27.1,42,32.6,75.1,62.3,1111,11.7,65.8,83.2,47.5,50.3,87.2,89.5,70.6,60.8,0.5,60.3,54.4,69.3,32.8,7.1,0.8,76.5,43.2,21,69.5,83.3,33.3,22.8,84.8,15.8,32.1,13.9,58.7,13.7,20.8,6.8,32.2,13.1,37,17.7,0.175,0.194,0.146,0.349,0.825,0.12,0.013,0.041,0.167,0.106,0.103,0.439
19.9,3.7,28.1,20,55.9,23,73.5,28.1,473,55.2,67.9,84.4,67.2,62.4,94.7,85,78.1,70.2,41,75.9,56,86,24.5,1.5,0.2,80.1,25.7,40.6,93.6,85.1,53.6,62.8,71.7,18,34.9,16.5,43.5,21.4,29.2,5.9,24,20.4,38.6,17.1,0.241,0.312,0.186,0.19,0.754,0.19,0.001,0.055,0.175,0.091,0.123,0.511
10.2,4.9,23,19.6,53,16.1,76.6,34.8,644,81.6,90.5,82.1,79.4,94.2,91.9,84.6,82.9,81.1,12.3,53.3,50.1,87.8,42.3,75.2,31.5,95.4,42.9,55.1,95.8,94.9,68.6,75.1,72.4,34.9,34.1,26.5,36.1,17.2,37.1,9.5,18.6,13.8,47.3,20.3,0.197,0.304,0.215,0.181,0.837,0.113,0.001,0.049,0.133,0.119,0.164,0.492
55.7,3.4,46.1,54.7,68.3,48.9,83.7,65.4,593,52.6,77.5,89.6,84.3,91.6,82,75.8,85.5,82.3,15.3,46,38.6,83.2,40.9,10.6,2.4,92.5,75.2,57.8,96.4,77.3,90.9,85,89.8,17.6,55.9,39.5,31.5,14.8,37.9,15.8,13.2,8.9,44,33.9,0.102,0.195,0.216,0.435,0.42,0.543,0.006,0.03,0.098,0.094,0.133,0.614
38.5,0.4,47,57.4,70.5,53.7,87.9,59.2,283,61.5,81.5,82,81.9,57.4,97.5,84.7,84,79.5,80.8,73.9,71,94.6,32.5,7.8,1.8,98.9,72.2,30.7,99.2,98.2,89.1,92.6,93.2,26.8,63.2,45.5,10.6,13,45.7,30.7,4.2,8.4,49,38.5,0.078,0.233,0.244,0.433,0.635,0.356,0,0.008,0.093,0.076,0.139,0.667
17.4,5.7,16.4,20.4,36.4,23.5,67.8,42.7,576,22.4,82.2,83.9,33.3,33,88.4,81.5,62.8,61.4,19.7,78.1,71.7,81.1,49.7,4.3,1.1,80.7,20.4,23,71.2,78.6,21.5,25.9,64.1,16.3,26.6,12.4,59,13.8,23,4.2,33.7,14,39.9,12.4,0.24,0.243,0.158,0.234,0.766,0.171,0.009,0.054,0.212,0.129,0.115,0.37
