Private school % Children (Age 6-14) enrolled in private schools,Not in school % Girls (Age 11-14) not enrolled in school,Not in school % Girls (Age 15-16) not enrolled in school,Std III: Learning levels % Children who can read Std II level text,Std III: Learning levels % Children who can do at least subtraction,Std V: Learning levels % Children who can read Std II level text,Std V: Learning levels % Children who can do division,Std VIII: Learning levels % Children who can read Std II level text,Std VIII: Learning levels % Children who can do division,Number of schools visited 2018,PTR  & CTR % Schools complying with: Pupil-teacher ratio 2018,PTR  & CTR % Schools complying with: Classroom-teacher ratio 2018,School facilities % Schools that have: Office/store/office cum store 2018,School facilities % Schools that have: Playground 2018,Boundary wall 2018,Kitchen shed for cooking mid-day meal 2018,Drinking water available 2018,Toilet available and useable 2018,Total enrollment of 60 or less 2018,Std ll children observed sitting with one or more classes 2018,Std lV children observed sitting with one or more classes 2018,Library books available 2018,Library books being used by the children on day of visit 2018,Computer available for children 2018,Computer available and children observed using them on day of visit 2018,Mid-day meal served in school on day of visit 2018,% Households which have a pucca house 2018,% Households which have motorized two wheeler 2018,% Households which have an electric connection 2018,"Of households with electric connection, % households with electricity avilable on day of visit 2018",% Households which have a toilet 2018,% Households which have a television 2018,% Households which have a mobile phone 2018,% Households which have other reading material* 2018,% Households with at least one member who completed Std XII** 2018,% Households with at least one member who knows how to operate a computer 2018,2018 % Mothers with: No school- ing,2018 % Mothers with: Std I-V,2018 % Mothers with: Std VI-X,2018 % Mothers with: Above Std X,2018 % Fathers with: No school- ing,2018 % Fathers with: Std I-V,2018 % Fathers with: Std VI-X,2018 % Fathers with: Above Std X,Nothing,Number_1to9,Number_11to99,Subtraction,Division,Govt,Pvt,Other,Out_of_School,Nothing-1,Letter,Word,Std1_Para,Std2_Para
30.9,4.1,13.5,27.2,28.1,50.3,27.8,72.8,44,15998,57.8,72.9,77.2,66.5,64.4,91,74.8,74.2,29.4,62.4,53.9,74.2,36.9,21.3,6.5,87.1,55.1,45.2,90.9,90.4,71.5,62.6,90.2,6.6,39.5,22.9,42.7,14.7,31.6,11,23.8,14.2,41.7,20.4,0.08,0.173,0.292,0.19,0.265,0.641,0.304,0.007,0.049,0.11,0.148,0.123,0.137,0.481
35.2,2.9,9.7,22.4,38.4,59.7,39.3,78.2,47.6,379,61.5,70,58.6,61.9,55.1,72.9,58.1,86.4,38.6,61.9,57.6,91,54.8,22.6,6.6,96,73.6,48,98.7,97.3,83.9,87.3,92.1,6.6,40.4,26.8,30.3,17.1,38.7,13.9,27.4,14.8,38.1,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35.2,2.9,8.6,18.8,33.9,37.1,27.3,70.5,50.1,159,74.2,65.3,86.6,55.4,51.4,57.4,44.7,50,49,37.3,27.2,24.1,4.4,7.7,1.3,36.2,18.7,35.8,86.8,82.3,87.2,64.5,79.9,8.8,32.4,22.3,51.4,14.3,26.7,7.7,30.5,15.7,36.5,17.3,0.042,0.093,0.385,0.251,0.229,0.621,0.318,0.007,0.054,0.057,0.249,0.207,0.141,0.346
24.8,2.6,9.6,19.9,29.7,40.1,17.8,60.8,31.2,714,47.4,68.5,63.1,61,59.5,92.2,68,21.2,41,52.2,46.5,73.1,38.8,6.5,1.6,64,28.3,28.6,84.2,86.8,73.6,47.6,82.7,8.1,31.7,18.1,33.8,15.2,41.8,9.2,27,15.8,40.2,17,0.064,0.19,0.303,0.256,0.187,0.702,0.242,0.013,0.043,0.08,0.149,0.175,0.202,0.394
16.9,4.2,9.8,23.5,28.4,41.3,29.9,71.2,56.9,1100,19.7,59.6,83.7,51.1,55.7,91.6,89.7,75.6,1.3,66.5,55.3,59.1,27.5,3.4,0.6,84.5,49.2,27.9,91.3,88.8,57.2,32.6,93.2,6.5,36.1,17.6,57.2,13.1,22.1,7.7,32.2,12.4,37.3,18.1,0.115,0.186,0.22,0.142,0.337,0.777,0.155,0.01,0.058,0.178,0.166,0.101,0.105,0.449
20,5.6,21.2,29.8,19.3,59.5,26.9,78.7,31.1,468,56.6,71.8,82.8,68.8,71.8,97,82.5,85.7,40.2,71.3,53.3,89.7,23.8,2.4,0.4,91.7,34.7,46,96.4,90.4,87.1,66.3,88.4,8.6,36.9,17.3,39.2,21.5,32.3,7,20.9,21,39.7,18.4,0.066,0.216,0.333,0.182,0.203,0.74,0.189,0,0.071,0.093,0.154,0.095,0.111,0.546
12.4,3.6,24.9,33.1,25.6,53.7,20.1,73.2,35.6,644,83.5,86.3,78,82.6,96.3,90.4,88,91.3,12.8,50.9,45.4,85.3,40.5,66.9,24,94.1,47.9,55.1,96.7,97.4,79.5,76.3,89.5,6.1,37.6,28.3,32.9,17.4,39.3,10.4,16,13.6,48.6,21.8,0.067,0.18,0.285,0.243,0.226,0.817,0.135,0.001,0.048,0.066,0.114,0.124,0.168,0.528
55.3,2.3,6.8,46.2,53.7,69.1,50.9,81.2,63.2,613,76.3,79.2,88.3,83.4,90.8,88.2,82,90.8,17.6,41.5,37.8,84,39.1,18.3,5.1,85.3,75.9,65.2,97.4,80.7,94.2,85.4,96.5,9,58.5,41.2,28.5,14.3,37.4,19.9,11.9,9.4,41.1,37.6,0.033,0.094,0.228,0.208,0.438,0.432,0.536,0.004,0.028,0.046,0.083,0.103,0.136,0.632
40.7,0.5,2,47.8,50.2,76.9,56.6,89.9,61,293,56.8,78.9,79.8,81.7,63.6,99.3,89.4,94.2,83.1,81.1,74.3,97.3,24.3,6.6,2.1,93.1,69,32.7,99.4,96.6,92.3,93.2,98.4,7.8,63,41.4,8.5,11.7,44.4,35.4,3.7,8.8,46.6,40.9,0.016,0.073,0.245,0.23,0.436,0.615,0.377,0.001,0.008,0.028,0.085,0.084,0.11,0.693
40.1,2.4,12.5,22.3,36.2,41.9,25,64.8,32.9,376,92.6,43.8,84.5,54.7,38.7,86.3,54.6,73,52.4,61.3,52.1,58.9,26.6,17.2,4.6,77.3,53.3,14.2,94.5,76.3,75.4,57.1,96,6.7,44.2,24.7,58,6.3,24.5,11.1,26.3,6.1,43.9,23.7,0.033,0.118,0.362,0.279,0.208,0.596,0.369,0.003,0.032,0.037,0.145,0.213,0.194,0.41
